Player,Pos,Team,Bye,FLEX
Ezekiel Elliott,RB,DAL,8,True
DeAndre Hopkins,WR,HOU,10,True
Julio Jones,WR,ATL,9,True
Todd Gurley II,RB,LAR,9,True
Antonio Brown,WR,OAK,6,True
Dalvin Cook,RB,MIN,12,True
Keenan Allen,WR,LAC,12,True
Leonard Fournette,RB,JAC,10,True
Devonta Freeman,RB,ATL,9,True
Amari Cooper,WR,DAL,8,True
T.Y. Hilton,WR,IND,6,True
Derrick Henry,RB,TEN,11,True
Brandin Cooks,WR,LAR,9,True
Josh Jacobs,RB,OAK,6,True
Cooper Kupp,WR,LAR,9,True
Mark Ingram II,RB,BAL,8,True
Kenyan Drake,RB,MIA,5,True
Allen Robinson,WR,CHI,6,True
Calvin Ridley,WR,ATL,9,True
Sammy Watkins,WR,KC,12,True
A.J. Green,WR,CIN,9,True
David Montgomery,RB,CHI,6,True
Tarik Cohen,RB,CHI,6,True
Lamar Miller,RB,HOU,10,True
Evan Engram,TE,NYG,11,True
Jared Cook,TE,NO,9,True
Matt Ryan,QB,ATL,9,False
Aaron Rodgers,QB,GB,11,False
Sterling Shepard,WR,NYG,11,True
Marvin Jones Jr.,WR,DET,5,True
Robby Anderson,WR,NYJ,4,True
Christian Kirk,WR,ARI,12,True
Tevin Coleman,RB,SF,4,True
Miles Sanders,RB,PHI,10,True
Austin Ekeler,RB,LAC,12,True
Royce Freeman,RB,DEN,10,True
Rashaad Penny,RB,SEA,11,True
Nyheim Hines,RB,IND,6,True
Cam Newton,QB,CAR,7,False
Carson Wentz,QB,PHI,10,False
Corey Davis,WR,TEN,11,True
Jamison Crowder,WR,NYJ,4,True
Larry Fitzgerald,WR,ARI,12,True
Courtland Sutton,WR,DEN,10,True
Keke Coutee,WR,HOU,10,True
Michael Gallup,WR,DAL,8,True
Jordan Howard,RB,PHI,10,True
Peyton Barber,RB,TB,7,True
Matt Breida,RB,SF,4,True
Latavius Murray,RB,NO,9,True
LeSean McCoy,RB,BUF,6,True
Carlos Hyde,RB,KC,12,True
Darrell Henderson,RB,LAR,9,True
Dante Pettis,WR,SF,4,True
Donte Moncrief,WR,PIT,7,True
James Washington,WR,PIT,7,True
Geronimo Allison,WR,GB,11,True
Emmanuel Sanders,WR,DEN,10,True
David Njoku,TE,CLE,7,True
Delanie Walker,TE,TEN,11,True
Eric Ebron,TE,IND,6,True
Dak Prescott,QB,DAL,8,False
Drew Brees,QB,NO,9,False
Ben Roethlisberger,QB,PIT,7,False
Russell Wilson,QB,SEA,11,False
Kyler Murray,QB,ARI,12,False
Jared Goff,QB,LAR,9,False
DeSean Jackson,WR,PHI,10,True
Tyrell Williams,WR,OAK,6,True
Devin Funchess,WR,IND,6,True
Anthony Miller,WR,CHI,6,True
Tom Brady,QB,NE,10,False
Lamar Jackson,QB,BAL,8,False
DK Metcalf,WR,SEA,11,True
Kenny Stills,WR,MIA,5,True
Golden Tate,WR,NYG,11,True
Albert Wilson,WR,MIA,5,True
Austin Hooper,TE,ATL,9,True
Jordan Reed,TE,WAS,10,True
Trey Burton,TE,CHI,6,True
Ronald Jones,RB,TB,7,True
Jalen Richard,RB,OAK,6,True
Dion Lewis,RB,TEN,11,True
Giovani Bernard,RB,CIN,9,True
DaeSean Hamilton,WR,DEN,10,True
Bears D/ST,DST,CHI,6,False
Jaguars D/ST,DST,JAC,10,False
Bills D/ST,DST,BUF,6,False
Rams D/ST,DST,LAR,9,False
Vikings D/ST,DST,MIN,12,False
Saints D/ST,DST,NO,9,False
Chargers D/ST,DST,LAC,12,False
